event_type,matchup,location,date
Regular Season,North Carolina Courage vs Kansas City Current,"WakeMed Soccer Park, Cary, North Carolina",2023-03-25 14:00:00
Regular Season,San Diego Wave FC vs Chicago Red Stars,"Snapdragon Stadium, San Diego, California",2023-03-25 22:00:00
Regular Season,Washington Spirit vs OL Reign,"Audi Field, Washington, District of Columbia",2023-03-26 16:00:00
Regular Season,Portland Thorns FC vs Orlando Pride,"Providence Park, Portland, Oregon",2023-03-26 17:00:00
Regular Season,Houston Dash vs Racing Louisville FC,"Shell Energy Stadium, Houston, Texas",2023-03-26 19:00:00
Regular Season,Angel City FC vs NJ/NY Gotham FC,"BMO Stadium, Los Angeles, California",2023-03-26 21:00:00
Regular Season,Kansas City Current vs Portland Thorns FC,"Children's Mercy Park, Kansas City, Kansas",2023-04-01 12:50:00
Regular Season,Chicago Red Stars vs Houston Dash,"SeatGeek Stadium, Bridgeview, Illinois",2023-04-01 14:00:00
Regular Season,Racing Louisville FC vs Washington Spirit,"Lynn Family Stadium, Louisville, Kentucky",2023-04-01 15:00:00
Regular Season,NJ/NY Gotham FC vs OL Reign,"Red Bull Arena, Harrison, New Jersey",2023-04-01 19:30:00
Regular Season,San Diego Wave FC vs North Carolina Courage,"Snapdragon Stadium, San Diego, California",2023-04-01 22:00:00
Regular Season,Orlando Pride vs Angel City FC,"Exploria Stadium, Orlando, Florida",2023-04-02 17:30:00
Regular Season,Portland Thorns FC vs Houston Dash,"Providence Park, Portland, Oregon",2023-04-14 22:30:00
Regular Season,North Carolina Courage vs Washington Spirit,"WakeMed Soccer Park, Cary, North Carolina",2023-04-15 19:00:00
Regular Season,Orlando Pride vs NJ/NY Gotham FC,"Exploria Stadium, Orlando, Florida",2023-04-15 19:00:00
Regular Season,Chicago Red Stars vs Kansas City Current,"SeatGeek Stadium, Bridgeview, Illinois",2023-04-15 20:00:00
Regular Season,Angel City FC vs Racing Louisville FC,"BMO Stadium, Los Angeles, California",2023-04-15 22:00:00
Regular Season,OL Reign vs San Diego Wave FC,"Lumen Field, Seattle, Washington",2023-04-15 22:00:00
Challenge Cup,Orlando Pride vs North Carolina Courage,"Exploria Stadium, Orlando, Florida",2023-04-19 19:00:00
Challenge Cup,NJ/NY Gotham FC vs Washington Spirit,"Red Bull Arena, Harrison, New Jersey",2023-04-19 19:30:00
Challenge Cup,Houston Dash vs Kansas City Current,"Shell Energy Stadium, Houston, Texas",2023-04-19 20:00:00
Challenge Cup,San Diego Wave FC vs Portland Thorns FC,"Snapdragon Stadium, San Diego, California",2023-04-19 22:00:00
Challenge Cup,Angel City FC vs OL Reign,"BMO Stadium, Los Angeles, California",2023-04-19 22:00:00
Regular Season,Kansas City Current vs Orlando Pride,"Children's Mercy Park, Kansas City, Kansas",2023-04-22 15:00:00
Regular Season,OL Reign vs Chicago Red Stars,"Lumen Field, Seattle, Washington",2023-04-22 15:30:00
Regular Season,Washington Spirit vs Houston Dash,"Audi Field, Washington, District of Columbia",2023-04-22 19:00:00
Regular Season,NJ/NY Gotham FC vs North Carolina Courage,"Red Bull Arena, Harrison, New Jersey",2023-04-22 19:30:00
Regular Season,Portland Thorns FC vs Racing Louisville FC,"Providence Park, Portland, Oregon",2023-04-22 22:30:00
Regular Season,Angel City FC vs San Diego Wave FC,"BMO Stadium, Los Angeles, California",2023-04-23 20:00:00
Regular Season,Houston Dash vs North Carolina Courage,"Shell Energy Stadium, Houston, Texas",2023-04-28 20:30:00
Regular Season,Racing Louisville FC vs OL Reign,"Lynn Family Stadium, Louisville, Kentucky",2023-04-29 19:30:00
Regular Season,Chicago Red Stars vs Washington Spirit,"SeatGeek Stadium, Bridgeview, Illinois",2023-04-29 20:00:00
Regular Season,San Diego Wave FC vs Orlando Pride,"Snapdragon Stadium, San Diego, California",2023-04-29 22:00:00
Regular Season,Portland Thorns FC vs Angel City FC,"Providence Park, Portland, Oregon",2023-04-29 22:30:00
Regular Season,Kansas City Current vs NJ/NY Gotham FC,"Children's Mercy Park, Kansas City, Kansas",2023-04-30 18:00:00
Challenge Cup,North Carolina Courage vs NJ/NY Gotham FC,"WakeMed Soccer Park, Cary, North Carolina",2023-05-03 19:00:00
Challenge Cup,Houston Dash vs Chicago Red Stars,"Shell Energy Stadium, Houston, Texas",2023-05-03 20:00:00
Challenge Cup,OL Reign vs Angel City FC,"Lumen Field, Seattle, Washington",2023-05-03 22:00:00
Regular Season,Washington Spirit vs San Diego Wave FC,"Audi Field, Washington, District of Columbia",2023-05-06 13:00:00
Regular Season,Orlando Pride vs Racing Louisville FC,"Exploria Stadium, Orlando, Florida",2023-05-06 19:00:00
Regular Season,North Carolina Courage vs Portland Thorns FC,"WakeMed Soccer Park, Cary, North Carolina",2023-05-06 19:00:00
Regular Season,OL Reign vs Houston Dash,"Lumen Field, Seattle, Washington",2023-05-06 22:00:00
Regular Season,Chicago Red Stars vs NJ/NY Gotham FC,"SeatGeek Stadium, Bridgeview, Illinois",2023-05-07 18:00:00
Regular Season,Angel City FC vs Kansas City Current,"BMO Stadium, Los Angeles, California",2023-05-07 20:00:00
Challenge Cup,Washington Spirit vs Orlando Pride,"Audi Field, Washington, District of Columbia",2023-05-10 19:30:00
Regular Season,Racing Louisville FC vs Chicago Red Stars,"Lynn Family Stadium, Louisville, Kentucky",2023-05-12 19:30:00
Regular Season,Houston Dash vs Portland Thorns FC,"Shell Energy Stadium, Houston, Texas",2023-05-12 20:30:00
Regular Season,Angel City FC vs Washington Spirit,"BMO Stadium, Los Angeles, California",2023-05-13 22:00:00
Regular Season,North Carolina Courage vs OL Reign,"WakeMed Soccer Park, Cary, North Carolina",2023-05-14 15:00:00
Regular Season,NJ/NY Gotham FC vs Orlando Pride,"Red Bull Arena, Harrison, New Jersey",2023-05-14 17:30:00
Regular Season,Kansas City Current vs San Diego Wave FC,"Children's Mercy Park, Kansas City, Kansas",2023-05-14 18:00:00
Challenge Cup,Racing Louisville FC vs Kansas City Current,"Lynn Family Stadium, Louisville, Kentucky",2023-05-17 19:30:00
Regular Season,North Carolina Courage vs Angel City FC,"WakeMed Soccer Park, Cary, North Carolina",2023-05-20 19:00:00
Regular Season,Orlando Pride vs Washington Spirit,"Exploria Stadium, Orlando, Florida",2023-05-20 19:00:00
Regular Season,Kansas City Current vs Racing Louisville FC,"Children's Mercy Park, Kansas City, Kansas",2023-05-20 20:00:00
Regular Season,Houston Dash vs San Diego Wave FC,"Shell Energy Stadium, Houston, Texas",2023-05-20 20:30:00
Regular Season,Portland Thorns FC vs Chicago Red Stars,"Providence Park, Portland, Oregon",2023-05-21 17:00:00
Regular Season,OL Reign vs NJ/NY Gotham FC,"Lumen Field, Seattle, Washington",2023-05-21 18:00:00
Regular Season,Kansas City Current vs Houston Dash,"Children's Mercy Park, Kansas City, Kansas",2023-05-26 20:00:00
Regular Season,San Diego Wave FC vs Portland Thorns FC,"Snapdragon Stadium, San Diego, California",2023-05-26 22:00:00
Regular Season,OL Reign vs Angel City FC,"Lumen Field, Seattle, Washington",2023-05-27 15:30:00
Regular Season,Racing Louisville FC vs North Carolina Courage,"Lynn Family Stadium, Louisville, Kentucky",2023-05-27 19:30:00
Regular Season,Chicago Red Stars vs Orlando Pride,"SeatGeek Stadium, Bridgeview, Illinois",2023-05-27 20:00:00
Regular Season,Washington Spirit vs NJ/NY Gotham FC,"Audi Field, Washington, District of Columbia",2023-05-28 17:00:00
Challenge Cup,Chicago Red Stars vs Racing Louisville FC,"SeatGeek Stadium, Bridgeview, Illinois",2023-05-31 20:00:00
Challenge Cup,San Diego Wave FC vs OL Reign,"Snapdragon Stadium, San Diego, California",2023-05-31 22:00:00
Challenge Cup,Portland Thorns FC vs Angel City FC,"Providence Park, Portland, Oregon",2023-05-31 22:30:00
Regular Season,OL Reign vs Portland Thorns FC,"Lumen Field, Seattle, Washington",2023-06-03 20:00:00
Regular Season,Washington Spirit vs Racing Louisville FC,"Audi Field, Washington, District of Columbia",2023-06-03 20:00:00
Regular Season,Houston Dash vs Orlando Pride,"Shell Energy Stadium, Houston, Texas",2023-06-03 20:30:00
Regular Season,Kansas City Current vs North Carolina Courage,"Children's Mercy Park, Kansas City, Kansas",2023-06-03 20:30:00
Regular Season,NJ/NY Gotham FC vs San Diego Wave FC,"Red Bull Arena, Harrison, New Jersey",2023-06-04 17:30:00
Regular Season,Angel City FC vs Chicago Red Stars,"BMO Stadium, Los Angeles, California",2023-06-04 20:00:00
Challenge Cup,NJ/NY Gotham FC vs Orlando Pride,"Red Bull Arena, Harrison, New Jersey",2023-06-07 19:30:00
Regular Season,Racing Louisville FC vs San Diego Wave FC,"Lynn Family Stadium, Louisville, Kentucky",2023-06-09 20:00:00
Regular Season,Chicago Red Stars vs North Carolina Courage,"SeatGeek Stadium, Bridgeview, Illinois",2023-06-09 20:00:00
Regular Season,Washington Spirit vs Angel City FC,"Audi Field, Washington, District of Columbia",2023-06-10 19:00:00
Regular Season,OL Reign vs Kansas City Current,"Lumen Field, Seattle, Washington",2023-06-10 22:00:00
Regular Season,Houston Dash vs NJ/NY Gotham FC,"Shell Energy Stadium, Houston, Texas",2023-06-11 19:00:00
Regular Season,Orlando Pride vs Portland Thorns FC,"Exploria Stadium, Orlando, Florida",2023-06-11 19:00:00
Challenge Cup,Washington Spirit vs North Carolina Courage,"Audi Field, Washington, District of Columbia",2023-06-14 19:30:00
Challenge Cup,Kansas City Current vs Chicago Red Stars,"Children's Mercy Park, Kansas City, Kansas",2023-06-14 20:00:00
Challenge Cup,Racing Louisville FC vs Houston Dash,"Lynn Family Stadium, Louisville, Kentucky",2023-06-14 20:00:00
Regular Season,San Diego Wave FC vs Angel City FC,"Snapdragon Stadium, San Diego, California",2023-06-17 16:00:00
Regular Season,North Carolina Courage vs Orlando Pride,"WakeMed Soccer Park, Cary, North Carolina",2023-06-17 19:00:00
Regular Season,Houston Dash vs OL Reign,"Shell Energy Stadium, Houston, Texas",2023-06-17 20:30:00
Regular Season,Racing Louisville FC vs NJ/NY Gotham FC,"Lynn Family Stadium, Louisville, Kentucky",2023-06-18 16:00:00
Regular Season,Chicago Red Stars vs Portland Thorns FC,"SeatGeek Stadium, Bridgeview, Illinois",2023-06-18 18:00:00
Regular Season,Kansas City Current vs Washington Spirit,"Children's Mercy Park, Kansas City, Kansas",2023-06-18 19:00:00
Regular Season,Portland Thorns FC vs Washington Spirit,"Providence Park, Portland, Oregon",2023-06-23 22:30:00
Regular Season,Orlando Pride vs Kansas City Current,"Exploria Stadium, Orlando, Florida",2023-06-24 19:00:00
Regular Season,North Carolina Courage vs Racing Louisville FC,"WakeMed Soccer Park, Cary, North Carolina",2023-06-24 19:00:00
Regular Season,San Diego Wave FC vs OL Reign,"Snapdragon Stadium, San Diego, California",2023-06-24 22:00:00
Regular Season,NJ/NY Gotham FC vs Chicago Red Stars,"Red Bull Arena, Harrison, New Jersey",2023-06-25 17:30:00
Regular Season,Angel City FC vs Houston Dash,"BMO Stadium, Los Angeles, California",2023-06-25 20:00:00
Challenge Cup,Orlando Pride vs NJ/NY Gotham FC,"Exploria Stadium, Orlando, Florida",2023-06-28 19:00:00
Challenge Cup,Angel City FC vs San Diego Wave FC,"BMO Stadium, Los Angeles, California",2023-06-28 22:00:00
Challenge Cup,Portland Thorns FC vs OL Reign,"Providence Park, Portland, Oregon",2023-06-28 22:30:00
Regular Season,OL Reign vs Racing Louisville FC,"Lumen Field, Seattle, Washington",2023-07-01 15:30:00
Regular Season,Washington Spirit vs Orlando Pride,"Audi Field, Washington, District of Columbia",2023-07-01 19:00:00
Regular Season,North Carolina Courage vs Houston Dash,"WakeMed Soccer Park, Cary, North Carolina",2023-07-01 19:30:00
Regular Season,Chicago Red Stars vs San Diego Wave FC,"SeatGeek Stadium, Bridgeview, Illinois",2023-07-01 20:00:00
Regular Season,Portland Thorns FC vs Kansas City Current,"Providence Park, Portland, Oregon",2023-07-01 22:30:00
Regular Season,NJ/NY Gotham FC vs Angel City FC,"Red Bull Arena, Harrison, New Jersey",2023-07-02 17:30:00
Regular Season,Orlando Pride vs OL Reign,"Exploria Stadium, Orlando, Florida",2023-07-07 19:00:00
Regular Season,Racing Louisville FC vs Kansas City Current,"Lynn Family Stadium, Louisville, Kentucky",2023-07-07 20:00:00
Regular Season,Houston Dash vs Chicago Red Stars,"Shell Energy Stadium, Houston, Texas",2023-07-07 20:30:00
Regular Season,San Diego Wave FC vs Washington Spirit,"Snapdragon Stadium, San Diego, California",2023-07-08 22:00:00
Regular Season,NJ/NY Gotham FC vs Portland Thorns FC,"Red Bull Arena, Harrison, New Jersey",2023-07-09 17:30:00
Regular Season,Angel City FC vs North Carolina Courage,"BMO Stadium, Los Angeles, California",2023-07-09 20:00:00
Challenge Cup,Racing Louisville FC vs Chicago Red Stars,"Lynn Family Stadium, Louisville, Kentucky",2023-07-21 20:00:00
Challenge Cup,Portland Thorns FC vs San Diego Wave FC,"Providence Park, Portland, Oregon",2023-07-21 22:30:00
Challenge Cup,North Carolina Courage vs Washington Spirit,"WakeMed Soccer Park, Cary, North Carolina",2023-07-22 19:00:00
Challenge Cup,Kansas City Current vs Houston Dash,"Children's Mercy Park, Kansas City, Kansas",2023-07-22 20:00:00
Challenge Cup,Washington Spirit vs NJ/NY Gotham FC,"Audi Field, Washington, District of Columbia",2023-07-28 19:00:00
Challenge Cup,OL Reign vs San Diego Wave FC,"Lumen Field, Seattle, Washington",2023-07-28 22:00:00
Challenge Cup,North Carolina Courage vs Orlando Pride,"WakeMed Soccer Park, Cary, North Carolina",2023-07-29 19:00:00
Challenge Cup,Chicago Red Stars vs Kansas City Current,"SeatGeek Stadium, Bridgeview, Illinois",2023-07-29 20:00:00
Challenge Cup,Houston Dash vs Racing Louisville FC,"Shell Energy Stadium, Houston, Texas",2023-07-29 20:30:00
Challenge Cup,Angel City FC vs Portland Thorns FC,"BMO Stadium, Los Angeles, California",2023-07-29 22:00:00
Challenge Cup,Orlando Pride vs Washington Spirit,"Exploria Stadium, Orlando, Florida",2023-08-04 19:00:00
Challenge Cup,Kansas City Current vs Racing Louisville FC,"Children's Mercy Park, Kansas City, Kansas",2023-08-04 20:00:00
Challenge Cup,NJ/NY Gotham FC vs North Carolina Courage,"Red Bull Arena, Harrison, New Jersey",2023-08-05 19:30:00
Challenge Cup,Chicago Red Stars vs Houston Dash,"SeatGeek Stadium, Bridgeview, Illinois",2023-08-05 20:00:00
Challenge Cup,San Diego Wave FC vs Angel City FC,"Snapdragon Stadium, San Diego, California",2023-08-05 22:00:00
Challenge Cup,OL Reign vs Portland Thorns FC,"Lumen Field, Seattle, Washington",2023-08-06 18:00:00
Regular Season,Kansas City Current vs OL Reign,"Children's Mercy Park, Kansas City, Kansas",2023-08-18 20:00:00
Regular Season,Racing Louisville FC vs Angel City FC,"Lynn Family Stadium, Louisville, Kentucky",2023-08-19 19:30:00
Regular Season,Houston Dash vs Washington Spirit,"Shell Energy Stadium, Houston, Texas",2023-08-19 20:30:00
Regular Season,San Diego Wave FC vs NJ/NY Gotham FC,"Snapdragon Stadium, San Diego, California",2023-08-19 22:00:00
Regular Season,Orlando Pride vs Chicago Red Stars,"Exploria Stadium, Orlando, Florida",2023-08-20 19:00:00
Regular Season,Portland Thorns FC vs North Carolina Courage,"Providence Park, Portland, Oregon",2023-08-20 22:30:00
Regular Season,Orlando Pride vs San Diego Wave FC,"Exploria Stadium, Orlando, Florida",2023-08-25 19:00:00
Regular Season,Houston Dash vs Kansas City Current,"Shell Energy Stadium, Houston, Texas",2023-08-26 20:30:00
Regular Season,North Carolina Courage vs Chicago Red Stars,"WakeMed Soccer Park, Cary, North Carolina",2023-08-27 14:00:00
Regular Season,Washington Spirit vs Portland Thorns FC,"Audi Field, Washington, District of Columbia",2023-08-27 17:00:00
Regular Season,NJ/NY Gotham FC vs Racing Louisville FC,"Red Bull Arena, Harrison, New Jersey",2023-08-27 17:30:00
Regular Season,Angel City FC vs OL Reign,"BMO Stadium, Los Angeles, California",2023-08-27 20:00:00
Regular Season,Kansas City Current vs Angel City FC,"Children's Mercy Park, Kansas City, Kansas",2023-09-01 20:00:00
Regular Season,North Carolina Courage vs NJ/NY Gotham FC,"WakeMed Soccer Park, Cary, North Carolina",2023-09-02 19:00:00
Regular Season,Racing Louisville FC vs Portland Thorns FC,"Lynn Family Stadium, Louisville, Kentucky",2023-09-02 19:30:00
Regular Season,Washington Spirit vs Chicago Red Stars,"Audi Field, Washington, District of Columbia",2023-09-03 17:00:00
Regular Season,OL Reign vs Orlando Pride,"Lumen Field, Seattle, Washington",2023-09-03 18:00:00
Regular Season,San Diego Wave FC vs Houston Dash,"Snapdragon Stadium, San Diego, California",2023-09-03 20:00:00
Regular Season,Racing Louisville FC vs Houston Dash,"Lynn Family Stadium, Louisville, Kentucky",2023-09-15 19:30:00
Regular Season,NJ/NY Gotham FC vs Washington Spirit,"Red Bull Arena, Harrison, New Jersey",2023-09-16 19:30:00
Regular Season,San Diego Wave FC vs Kansas City Current,"Snapdragon Stadium, San Diego, California",2023-09-16 22:00:00
Regular Season,Portland Thorns FC vs OL Reign,"Providence Park, Portland, Oregon",2023-09-16 22:30:00
Regular Season,Chicago Red Stars vs Angel City FC,"SeatGeek Stadium, Bridgeview, Illinois",2023-09-17 18:00:00
Regular Season,Orlando Pride vs North Carolina Courage,"Exploria Stadium, Orlando, Florida",2023-09-17 19:00:00
Regular Season,Angel City FC vs Orlando Pride,"BMO Stadium, Los Angeles, California",2023-09-21 22:00:00
Regular Season,Washington Spirit vs Kansas City Current,"Audi Field, Washington, District of Columbia",2023-09-30 19:00:00
Regular Season,Chicago Red Stars vs Racing Louisville FC,"SeatGeek Stadium, Bridgeview, Illinois",2023-09-30 20:00:00
Regular Season,Portland Thorns FC vs San Diego Wave FC,"Providence Park, Portland, Oregon",2023-09-30 22:30:00
Regular Season,NJ/NY Gotham FC vs Houston Dash,"Red Bull Arena, Harrison, New Jersey",2023-10-01 17:30:00
Regular Season,OL Reign vs North Carolina Courage,"Lumen Field, Seattle, Washington",2023-10-01 20:00:00
Regular Season,Racing Louisville FC vs Orlando Pride,"Lynn Family Stadium, Louisville, Kentucky",2023-10-06 19:30:00
Regular Season,OL Reign vs Washington Spirit,"Lumen Field, Seattle, Washington",2023-10-06 22:00:00
Regular Season,Portland Thorns FC vs NJ/NY Gotham FC,"Providence Park, Portland, Oregon",2023-10-07 17:00:00
Regular Season,North Carolina Courage vs San Diego Wave FC,"WakeMed Soccer Park, Cary, North Carolina",2023-10-07 19:00:00
Regular Season,Kansas City Current vs Chicago Red Stars,"Children's Mercy Park, Kansas City, Kansas",2023-10-07 20:00:00
Regular Season,Houston Dash vs Angel City FC,"Shell Energy Stadium, Houston, Texas",2023-10-08 19:00:00
Regular Season,Washington Spirit vs North Carolina Courage,"Audi Field, Washington, District of Columbia",2023-10-15 17:00:00
Regular Season,NJ/NY Gotham FC vs Kansas City Current,"Red Bull Arena, Harrison, New Jersey",2023-10-15 17:00:00
Regular Season,Orlando Pride vs Houston Dash,"Exploria Stadium, Orlando, Florida",2023-10-15 17:00:00
Regular Season,Chicago Red Stars vs OL Reign,"SeatGeek Stadium, Bridgeview, Illinois",2023-10-15 17:00:00
Regular Season,Angel City FC vs Portland Thorns FC,"BMO Stadium, Los Angeles, California",2023-10-15 17:00:00
Regular Season,San Diego Wave FC vs Racing Louisville FC,"Snapdragon Stadium, San Diego, California",2023-10-15 17:00:00
